"TOA5","USL_Winch_IP","CR1000","83445","CR1000.Std.31","CPU:USL_1M_6H.cr1","21122","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2017-05-24 13:23:10.1",34,"(Setup Mode) (F7) - Manual Stay-at-Park Depth call."," 12.824 57.99 1.047 1.177 101.79 10.78 7.18 0.70 -0.17 0.18 1.51 6.98 6.23 12.12   # "
"2017-05-24 14:38:49.1",35,"(Setup Mode) (F7) - Manual Stay-at-Park Depth call."," 13.891 57.99 0.924 0.925 105.21 10.87 7.79 0.57 -0.23 0.12 1.43 6.61 6.23 12.56   # "
"2017-05-24 15:02:26",36,"[05/24/2017 15:02:26.09] ------------------ Start of  profile [5] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-24 15:02:26",37,"[05/24/2017 15:02:36.92]  New Profile Sonde found (16L101106); version: 1.0.18  # , Date: , params:  1 7 240 22 211 212 18 223 216 225 194 193 28 230.",""
"2017-05-24 15:02:26",38,"[05/24/2017 15:02:48.08]  Water available (26.89906); Start Depth (1); End Depth (24.89906) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-24 15:35:34",39,"[05/24/2017 15:38:55.24] ------------------ End of profile [5] ------------------",""
"2017-05-24 17:59:00",40,"[05/24/2017 17:59:25.96]  ERROR: (Depth Finder) - Unable to get 2 readings within tolerance.","DF1(28); DF2(27.2); DF_Error(0) tries(4); AltValidation(2)"
"2017-05-24 17:59:00",41,"[05/24/2017 17:59:25.98] ERROR: Parking sonde [86.3] - Unable to update current water depth.","DF1(28); DF2(27.2); DF_Error(0) tries(4); AltValidation(2)"
"2017-05-24 18:00:00",42,"[05/24/2017 18:00:00.09] ------------------ Start of  profile [6] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-24 18:00:00",43,"[05/24/2017 18:00:12.77]  Water available (26.89906); Start Depth (1); End Depth (24.89906) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-24 18:29:52",44,"[05/24/2017 18:30:10.58]  ERROR: (Depth Finder) - Unable to get 2 readings within tolerance.","DF1(28.3); DF2(27.5); DF_Error(0) tries(4); AltValidation(2)"
"2017-05-24 18:30:10.7",45,"      [05/24/2017 18:30:10.70] ***** (SetupMode)  -  Entering ErrorCheck Code for (16.3) ********",""
"2017-05-24 18:30:10.7",46,"[05/24/2017 18:30:17.47]  (Depth Finder Error check) Able to get valid reading from Depth Finder, continuing profile.  ExitCode(10)",""
"2017-05-24 18:31:38",47,"[05/24/2017 18:35:00.53] ------------------ End of profile [6] ------------------",""
"2017-05-24 20:14:00",48,"[05/24/2017 20:14:25.97]  ERROR: (Depth Finder) - Unable to get 2 readings within tolerance.","DF1(16.8); DF2(27.4); DF_Error(0) tries(4); AltValidation(2)"
"2017-05-24 20:14:00",49,"[05/24/2017 20:14:25.99] ERROR: Parking sonde [86.3] - Unable to update current water depth.","DF1(16.8); DF2(27.4); DF_Error(0) tries(4); AltValidation(2)"
"2017-05-24 23:52:00",50,"[05/24/2017 23:52:00.01]        Turning modem OFF","ModemCounter (1303); modemCurrMin(1431); resetModem(53)"
"2017-05-24 23:53:01",51,"[05/24/2017 23:53:01.01]        Turning modem back ON","ModemCounter (1364); modemCurrMin(1433); resetModem(0)"
"2017-05-25 00:00:00",52,"[05/25/2017 00:00:00.09] ------------------ Start of  profile [7] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-25 00:00:00",53,"[05/25/2017 00:00:12.77]  Water available (26.80124); Start Depth (1); End Depth (24.80124) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-25 06:52:51.83",54,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(416); modemResetMin(1432)"
"2017-05-25 06:56:10.49",55,"***** Datalogger Reset *****","Program Signature: 21122; Profiler version: 30.4; debug: 0; Modbus: 0; [24970]."
"2017-05-25 06:56:10.5",56,"[05/25/2017 06:56:10.49]  WARNING:  (ResetToDefaultValues)  - Can not reset to default values when profile #7 is active.","Stop current profile before reseting values."
"2017-05-25 06:56:10.68",57,"",""
"2017-05-25 07:14:40.1",58,"(Setup Mode) (F5) - Manual profile sonde reading."," 10.758 57.95 9.062 9.060 92.34 10.24 7.02 0.81 -0.09 0.27 3.04 13.42 6.24 11.69   # "
"2017-05-25 07:14:52.1",59,"(Setup Mode) (F5) - Manual profile sonde reading."," 10.770 57.79 9.056 9.061 92.61 10.27 7.06 0.94 -0.09 0.27 2.24 10.03 6.23 11.63   # "
"2017-05-25 07:15:09",60,"[05/25/2017 07:15:09.08] ------------------ Start of  profile [1] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-25 07:15:09",61,"[05/25/2017 07:15:21.81]  Water available (26.99688); Start Depth (1); End Depth (24.99688) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-25 07:26:30.67",62,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(449); modemResetMin(1432)"
"2017-05-25 07:29:49.48",63,"***** Datalogger Reset *****","Program Signature: 21122; Profiler version: 30.4; debug: 0; Modbus: 0; [26989]."
"2017-05-25 07:29:49.49",64,"[05/25/2017 07:29:49.49]  WARNING:  (ResetToDefaultValues)  - Can not reset to default values when profile #1 is active.","Stop current profile before reseting values."
"2017-05-25 07:29:49.68",65,"",""
