"TOA5","USL_Winch_IP","CR1000","83445","CR1000.Std.31","CPU:USL_1M_6H.cr1","21122","SondeHourly"
"TIMESTAMP","RECORD","sensorParms(1)","sensorParms(2)","sensorParms(3)","sensorParms(4)","sensorParms(5)","sensorParms(6)","sensorParms(7)","sensorParms(8)","sensorParms(9)","sensorParms(10)","sensorParms(11)","sensorParms(12)","sensorParms(13)","sensorParms(14)"
"TS","RN","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2017-05-23 19:56:01",0,13.542,58.04,0.946,0.945,102.78,10.7,7.66,0.73,-0.21,0.15,1.73,7.94,6.23,12.15
"2017-05-23 20:56:01",1,13.378,58.1,0.947,0.946,102.39,10.7,7.64,0.54,-0.17,0.18,2.84,12.69,6.23,11.58
"2017-05-23 21:56:01",2,13.262,58.23,0.945,0.945,101.97,10.68,7.6,0.74,-0.08,0.27,2.09,9.45,6.22,11.5
"2017-05-23 22:56:01",3,13.474,58.45,0.948,0.948,102.97,10.74,7.64,0.72,-0.18,0.18,1.63,7.47,6.23,11.51
"2017-05-23 23:56:01",4,13.348,58.57,0.945,0.945,102.38,10.7,7.61,0.68,-0.13,0.23,2.51,11.3,6.23,11.44
"2017-05-24 00:56:01",5,13.271,58.58,0.96,0.96,101.89,10.67,7.59,0.66,-0.16,0.2,2.38,10.7,6.23,11.05
"2017-05-24 01:56:01",6,13.451,57.81,0.957,0.957,101.81,10.62,7.6,0.62,-0.16,0.2,2.38,10.7,6.23,11.39
"2017-05-24 02:56:01",7,13.447,57.8,0.952,0.952,101.91,10.63,7.59,0.65,-0.19,0.16,2.57,11.53,6.23,11.38
"2017-05-24 03:56:01",8,13.423,57.75,0.948,0.948,101.56,10.6,7.58,0.64,-0.16,0.2,1.82,8.28,6.23,11.43
"2017-05-24 04:56:01",9,13.347,57.68,0.95,0.949,101.23,10.58,7.56,0.61,-0.2,0.15,1.86,8.5,6.23,11.44
"2017-05-24 05:56:01",10,13.235,57.82,0.952,0.95,101.63,10.65,7.57,0.59,-0.2,0.15,2.57,11.53,6.23,11.53
"2017-05-24 06:56:01",11,13.245,58.8,0.961,0.961,101.65,10.65,7.57,0.73,-0.16,0.19,2.18,9.88,6.23,12.12
"2017-05-24 07:56:01",12,13.31,58.04,0.963,0.963,102.18,10.69,7.61,0.65,-0.19,0.16,2.99,13.35,6.23,12.19
