"TOA5","USL_Winch_IP","CR1000","83445","CR1000.Std.31","CPU:USL_1M_6H.cr1","21122","PFL_Step"
"TIMESTAMP","RECORD","PFL_Counter","_CntRS232","_RS232Dpt","sensorParms(1)","sensorParms(2)","sensorParms(3)","sensorParms(4)","sensorParms(5)","sensorParms(6)","sensorParms(7)","sensorParms(8)","sensorParms(9)","sensorParms(10)","sensorParms(11)","sensorParms(12)","sensorParms(13)","sensorParms(14)"
"TS","RN","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2017-05-23 18:26:57",0,1,1,0.935,13.84,58.06,0.935,0.948,103.32,10.68,7.9,0.66,-0.21,0.14,1.64,7.51,6.22,12.13
"2017-05-23 18:28:14",1,1,1,2.084,13.574,58.13,2.084,2.082,102.69,10.68,7.87,0.68,-0.22,0.14,2.19,9.89,6.22,12.23
"2017-05-23 18:29:30",2,1,1,3.018,13.106,58.32,3.018,3.018,101.36,10.65,7.84,0.74,-0.19,0.16,2.29,10.34,6.22,12.62
"2017-05-23 18:30:46",3,1,1,4.049,12.298,58.71,4.049,4.049,99.23,10.62,7.8,0.66,-0.14,0.22,2.74,12.28,6.22,12.59
"2017-05-23 18:32:02",4,1,1,5.067,12.083,58.83,5.067,5.066,98.11,10.55,7.76,0.72,-0.09,0.27,3.3,14.68,6.22,12.53
"2017-05-23 18:33:18",5,1,1,6.048,11.754,58.94,6.048,6.048,97.05,10.52,7.7,0.87,-0.01,0.35,2.65,11.86,6.22,12.25
"2017-05-23 18:34:34",6,1,1,7.054,11.352,59.03,7.054,7.054,95.69,10.47,7.64,0.66,-0.14,0.22,2.73,12.21,6.22,12.59
"2017-05-23 18:35:50",7,1,1,8.05,10.894,59,8.046,8.047,92.3,10.2,7.57,0.58,-0.15,0.2,2.27,10.24,6.22,12.58
"2017-05-23 18:37:08",8,1,1,9.11,10.503,59.15,9.107,9.108,91.38,10.19,7.5,0.64,-0.2,0.16,1.68,7.7,6.22,12.26
"2017-05-23 18:38:24",9,1,1,10.04,10.229,59.25,10.036,10.036,90.26,10.13,7.44,0.44,-0.19,0.17,1.78,8.12,6.22,12.27
"2017-05-23 18:39:40",10,1,1,11,9.612,59.77,10.996,10.995,89.07,10.15,7.4,0.58,-0.22,0.14,1.73,7.9,6.22,12.51
"2017-05-23 18:40:59",11,1,1,12.09,9.236,60,12.09,12.09,87.75,10.09,7.33,0.46,-0.25,0.1,1.34,6.24,6.22,12.61
"2017-05-23 18:42:15",12,1,1,13.02,8.988,60.01,13.022,13.02,86.29,9.98,7.29,0.48,-0.27,0.08,1.05,4.99,6.22,12.61
"2017-05-23 18:43:31",13,1,1,14.02,8.686,60.23,14.024,14.024,85.16,9.92,7.23,0.43,-0.25,0.11,1.18,5.54,6.22,12.34
"2017-05-23 18:44:47",14,1,1,15.02,8.385,60.54,15.019,15.019,84.31,9.89,7.18,0.39,-0.27,0.08,0.77,3.76,6.22,12.68
"2017-05-23 18:46:03",15,1,1,16.02,8.268,60.59,16.024,16.023,83.93,9.87,7.14,0.39,-0.26,0.09,0.76,3.71,6.23,11.98
"2017-05-23 18:47:21",16,1,1,17.09,8.093,60.71,17.087,17.088,83.31,9.84,7.1,0.41,-0.24,0.11,0.73,3.61,6.22,12.63
"2017-05-23 18:48:39",17,1,1,18.08,7.538,61.02,18.075,18.068,81.25,9.73,7.05,0.39,-0.28,0.07,0.51,2.65,6.22,11.93
"2017-05-23 18:49:57",18,1,1,19.06,7.262,61.23,19.063,19.064,79.31,9.56,6.99,0.45,-0.29,0.06,0.36,1.99,6.22,12.07
"2017-05-23 18:51:15",19,1,1,20.07,7.043,61.37,20.066,20.067,78.21,9.48,6.95,0.56,-0.31,0.05,0.25,1.53,6.23,12.12
"2017-05-23 18:52:40",20,1,1,21.06,7.006,61.39,21.061,21.061,77.61,9.42,6.91,0.52,-0.28,0.07,0.29,1.72,6.23,12.6
"2017-05-23 18:54:08",21,1,1,22.06,6.965,61.44,22.061,22.061,76.89,9.34,6.88,0.54,-0.32,0.03,0.27,1.59,6.23,12.63
"2017-05-23 18:55:33",22,1,1,23.08,6.918,61.5,23.079,23.078,76.12,9.26,6.86,0.59,-0.28,0.07,0.24,1.47,6.23,12.16
"2017-05-23 18:56:58",23,1,1,24.07,6.885,61.59,24.071,24.072,75.4,9.18,6.84,0.69,-0.3,0.05,0.22,1.38,6.23,12.12
"2017-05-23 18:58:18",24,1,1,24.64,6.863,61.66,24.642,24.641,74.75,9.1,6.82,0.79,-0.3,0.05,0.24,1.5,6.23,12.7
"2017-05-24 00:01:27",25,2,1,0.945,13.256,58.52,0.945,0.945,102.18,10.7,7.61,0.65,-0.12,0.23,2.32,10.47,6.23,11.38
"2017-05-24 00:02:46",26,2,1,2.07,13.116,58.28,2.07,2.07,101.33,10.65,7.59,0.84,-0.16,0.2,2.22,10.03,6.23,11.04
"2017-05-24 00:04:04",27,2,1,3.1,13.046,58.25,3.1,3.101,101.21,10.65,7.58,0.75,-0.07,0.29,2.46,11.08,6.23,10.97
"2017-05-24 00:05:20",28,2,1,4.029,12.908,58.12,4.029,4.029,101.4,10.71,7.6,0.8,-0.17,0.18,2.55,11.46,6.23,10.95
"2017-05-24 00:06:38",29,2,1,5.1,12.288,58.64,5.1,5.1,99.59,10.66,7.56,0.59,-0.05,0.31,2.75,12.34,6.23,10.93
"2017-05-24 00:07:54",30,2,1,6.026,12.142,58.8,6.026,6.026,98.63,10.59,7.51,0.59,-0.13,0.22,2.57,11.54,6.23,10.97
"2017-05-24 00:09:10",31,2,1,7.011,11.754,59.23,7.011,7.012,97.56,10.57,7.44,0.94,-0.05,0.31,3.8,16.83,6.23,11.05
"2017-05-24 00:10:26",32,2,1,8.01,11.017,59.36,8.011,8.011,95.42,10.52,7.32,0.77,-0.03,0.33,3.13,13.97,6.23,10.89
"2017-05-24 00:11:45",33,2,1,9.08,10.413,59.63,9.075,9.075,93.02,10.4,7.23,0.65,-0.11,0.24,3.17,14.14,6.23,11.08
"2017-05-24 00:13:03",34,2,1,10.08,9.992,59.6,10.081,10.081,90.36,10.2,7.13,0.73,-0.15,0.21,2,9.08,6.23,10.94
"2017-05-24 00:14:21",35,2,1,11.08,9.6,59.74,11.083,11.083,89.12,10.15,7.07,0.48,-0.17,0.19,0.95,4.55,6.22,11.38
"2017-05-24 00:15:39",36,2,1,12.07,9.401,59.83,12.07,12.07,88.66,10.15,7.03,0.46,-0.24,0.11,1.5,6.94,6.23,10.9
"2017-05-24 00:16:57",37,2,1,13.07,8.814,60.17,13.07,13.071,85.67,9.95,6.97,0.45,-0.21,0.14,0.97,4.61,6.23,11.4
"2017-05-24 00:18:15",38,2,1,14.05,8.645,60.27,14.053,14.054,85.09,9.92,6.93,0.41,-0.21,0.14,2.98,13.3,6.23,10.79
"2017-05-24 00:19:34",39,2,1,15.07,8.165,60.75,15.071,15.07,83.72,9.87,6.89,0.45,-0.24,0.11,0.89,4.28,6.23,11.37
"2017-05-24 00:20:52",40,2,1,16.05,8.098,60.73,16.054,16.054,83.25,9.84,6.87,0.5,-0.26,0.09,0.68,3.38,6.23,11
"2017-05-24 00:22:11",41,2,1,17.03,7.715,61.02,17.028,17.028,81.82,9.76,6.84,0.43,-0.28,0.07,0.51,2.65,6.23,11.1
"2017-05-24 00:23:30",42,2,1,18.04,7.461,61.18,18.042,18.042,81.16,9.74,6.82,0.43,-0.24,0.11,0.45,2.37,6.23,11.04
"2017-05-24 00:24:49",43,2,1,19.03,7.357,61.13,19.026,19.026,80.04,9.63,6.79,0.38,-0.27,0.08,0.41,2.21,6.23,10.93
"2017-05-24 00:26:08",44,2,1,20.02,7.192,61.26,20.019,20.019,79.04,9.55,6.77,0.42,-0.29,0.06,0.31,1.8,6.23,10.95
