"TOA5","USL_Winch_IP","CR1000","83445","CR1000.Std.31","CPU:USL_1M_6H.cr1","21122","DFinder"
"TIMESTAMP","RECORD","_counter","_temp1","_DF_1","_temp2","_DF_2","_bottomDepth","_siteMaxDepth","_DF_Error"
"TS","RN","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2017-05-26 12:31:10",79,1,0,27.2,0,27.7,27.59,28,0
"2017-05-26 18:00:00",80,1,0,27.3,0,27.8,27.69,28,0
"2017-05-26 18:26:59",81,1,0,27.3,0,27.7,27.59,28,0
"2017-05-26 18:28:24",82,1,0,27.4,0,27.1,27.3,28,0
"2017-05-26 18:29:49",83,1,0,27.3,0,27.3,27.2,28,0
"2017-05-26 18:31:14",84,3,0,27.3,0,27.2,27.2,28,0
"2017-05-27 00:00:00",85,1,0,27.6,0,27.4,27.5,28,0
"2017-05-27 00:25:55",86,2,0,27.3,0,27.3,27.2,28,0
"2017-05-27 00:27:23",87,1,0,27.5,0,27.5,27.4,28,0
"2017-05-27 00:28:48",88,1,0,27.4,0,27.7,27.59,28,0
"2017-05-27 00:30:14",89,2,0,27.4,0,27.3,27.3,28,0
"2017-05-27 00:31:42",90,1,0,27.8,0,27.4,27.69,28,0
"2017-05-27 00:33:07",91,1,0,27.6,0,27.6,27.5,28,0
"2017-05-27 06:00:00",92,1,0,27.2,0,27.3,27.2,28,0
"2017-05-27 06:26:04",93,1,0,27.4,0,27.4,27.3,28,0
"2017-05-27 06:27:29",94,1,0,27.3,0,27.5,27.4,28,0
"2017-05-27 06:28:55",95,1,0,27.3,0,27.3,27.2,28,0
"2017-05-27 06:30:21",96,1,0,27.2,0,27.3,27.2,28,0
"2017-05-27 06:31:47",97,1,0,27.4,0,27.5,27.4,28,0
"2017-05-27 12:00:00",98,2,0,27.4,0,27.3,27.3,28,0
"2017-05-27 12:25:31",99,1,0,27.3,0,27.3,27.2,28,0
"2017-05-27 12:26:54",100,1,0,27.2,0,27.2,27.11,28,0
"2017-05-27 12:28:17",101,1,0,27.2,0,27.2,27.11,28,0
"2017-05-27 12:29:40",102,1,0,27.2,0,27.2,27.11,28,0
"2017-05-27 12:31:03",103,1,0,27.3,0,27.5,27.4,28,0
"2017-05-27 18:00:00",104,1,0,27.1,0,27.2,27.11,28,0
"2017-05-27 18:25:31",105,1,0,27.3,0,27.3,27.2,28,0
"2017-05-27 18:26:54",106,1,0,27.4,0,27.3,27.3,28,0
"2017-05-27 18:28:17",107,1,0,27.2,0,27.2,27.11,28,0
"2017-05-27 18:29:42",108,3,0,27.3,0,27.3,27.2,28,0
"2017-05-27 18:31:11",109,1,0,27.4,0,27.4,27.3,28,0
"2017-05-28 00:00:00",110,1,0,27.4,0,27.4,27.3,28,0
"2017-05-28 00:25:44",111,1,0,27.4,0,27.4,27.3,28,0
"2017-05-28 00:27:10",112,1,0,27.4,0,27.3,27.3,28,0
"2017-05-28 00:28:35",113,1,0,27.4,1,27.4,27.3,28,0
"2017-05-28 00:30:01",114,1,0,27.4,0,27.4,27.3,28,0
"2017-05-28 00:31:24",115,3,0,27.3,0,27.4,27.3,28,0
"2017-05-28 06:00:00",116,2,0,27.6,0,27.3,27.5,28,0
"2017-05-28 06:25:42",117,1,0,27.3,0,27.2,27.2,28,0
"2017-05-28 06:27:07",118,1,0,27.3,0,27.3,27.2,28,0
"2017-05-28 06:28:32",119,1,0,27.3,0,27.4,27.3,28,0
"2017-05-28 06:29:57",120,1,0,27.2,0,27.2,27.11,28,0
"2017-05-28 06:31:22",121,1,0,27.3,0,27.2,27.2,28,0
"2017-05-28 12:00:00",122,2,0,27.3,0,27.5,27.4,28,0
"2017-05-28 12:25:27",123,1,0,27.3,0,27.6,27.5,28,0
"2017-05-28 12:26:50",124,1,0,27.3,0,27.2,27.2,28,0
"2017-05-28 12:28:13",125,1,0,27.5,0,27.4,27.4,28,0
"2017-05-28 12:29:36",126,1,0,27.3,0,27.4,27.3,28,0
"2017-05-28 12:30:59",127,1,0,27.4,0,27.3,27.3,28,0
"2017-05-28 18:00:00",128,1,0,27.5,0,27.3,27.4,28,0
"2017-05-28 18:25:24",129,1,0,27.2,0,27.3,27.2,28,0
"2017-05-28 18:26:49",130,1,0,27.2,0,27.3,27.2,28,0
"2017-05-28 18:28:11",131,1,0,27.2,0,27.3,27.2,28,0
"2017-05-28 18:29:34",132,1,0,27.4,0,27.2,27.3,28,0
"2017-05-28 18:30:57",133,1,0,27.3,0,27.4,27.3,28,0
"2017-05-29 00:00:00",134,1,0,27.3,0,27.5,27.4,28,0
"2017-05-29 00:25:41",135,1,0,27.2,0,27.4,27.3,28,0
"2017-05-29 00:27:04",136,2,0,27.4,0,27.2,27.3,28,0
"2017-05-29 00:28:30",137,1,0,27.4,0,27.4,27.3,28,0
"2017-05-29 00:29:56",138,1,0,27.3,0,27.7,27.59,28,0
"2017-05-29 00:31:21",139,1,0,27.5,0,27.6,27.5,28,0
"2017-05-29 06:00:00",140,1,0,27.1,0,27.3,27.2,28,0
"2017-05-29 06:25:45",141,2,0,27.4,0,27.1,27.3,28,0
"2017-05-29 06:27:13",142,1,0,27.3,0,27.4,27.3,28,0
"2017-05-29 06:28:38",143,1,0,27.6,0,27.2,27.5,28,0
"2017-05-29 06:30:01",144,1,0,27.2,0,27.4,27.3,28,0
"2017-05-29 06:31:27",145,1,0,27.4,0,27.2,27.3,28,0
