"TOA5","USL_MET_IP","CR1000","81651","CR1000.Std.30.01","CPU:Met1000_line797_rainMET.CR1","7226","Wind_vectorRaw"
"TIMESTAMP","RECORD","W_SpdRaw_WVc(1)","W_SpdRaw_WVc(2)"
"TS","RN","",""
"","","WVc","WVc"
"2017-05-24 17:59:31",101,2.914537,103.092
"2017-05-24 18:14:31",102,2.474884,98.28099
"2017-05-24 18:29:31",103,2.999028,99.98081
"2017-05-24 18:44:31",104,2.868589,107.2858
"2017-05-24 18:59:31",105,3.18593,105.6893
"2017-05-24 19:14:31",106,2.863108,135.9737
"2017-05-24 19:29:31",107,3.091584,123.4893
"2017-05-24 19:44:31",108,2.401808,120.2907
"2017-05-24 19:59:31",109,2.110237,109.8885
"2017-05-24 20:14:31",110,2.376769,118.7781
"2017-05-24 20:29:31",111,1.434575,129.6983
"2017-05-24 20:44:31",112,0.6697044,133.5786
"2017-05-24 20:59:31",113,0.5558366,195.386
"2017-05-24 21:14:31",114,0.7255145,166.4689
"2017-05-24 21:29:31",115,1.316278,135.7627
"2017-05-24 21:44:31",116,1.16676,133.3314
"2017-05-24 21:59:31",117,0.3771668,269.2871
"2017-05-24 22:14:31",118,0.09305494,40.56272
"2017-05-24 22:29:31",119,0.2047663,54.2849
"2017-05-24 22:44:31",120,0.5883361,254.8223
"2017-05-24 22:59:31",121,0.5577471,279.0558
"2017-05-24 23:14:31",122,0.1135089,215.0059
"2017-05-24 23:29:31",123,0.6840434,149.9743
"2017-05-24 23:44:31",124,0.6066574,141.7912
"2017-05-24 23:59:31",125,0.5183668,109.5706
"2017-05-25 07:14:31",126,5.799882,123.2309
"2017-05-25 07:44:31",127,7.591942,141.9162
"2017-05-25 07:59:31",128,7.474087,143.5972
"2017-05-25 08:14:31",129,8.291339,132.9792
"2017-05-25 08:29:31",130,8.672832,131.5304
"2017-05-25 08:44:31",131,8.965345,139.5867
"2017-05-25 08:59:31",132,8.200217,139.3425
"2017-05-25 09:14:31",133,7.445338,147.0472
"2017-05-25 09:29:31",134,7.261442,156.2631
"2017-05-25 09:44:31",135,7.988147,153.2595
"2017-05-25 09:59:31",136,8.789109,148.2015
"2017-05-25 10:14:31",137,8.305049,156.7315
"2017-05-25 10:29:31",138,8.839617,165.6293
"2017-05-25 10:44:31",139,7.72484,155.2809
"2017-05-25 10:59:31",140,7.760383,152.1398
"2017-05-25 11:14:31",141,7.429847,146.4087
"2017-05-25 11:29:31",142,8.105722,163.4008
"2017-05-25 11:44:31",143,5.299394,152.7151
"2017-05-25 11:59:31",144,2.935749,112.839
"2017-05-25 12:14:31",145,2.108823,115.8099
"2017-05-25 12:29:31",146,1.856922,107.606
"2017-05-25 12:44:31",147,2.101289,131.8607
"2017-05-25 12:59:31",148,3.064145,127.394
"2017-05-25 13:14:31",149,4.089282,125.0794
"2017-05-25 13:29:31",150,5.438904,118.217
"2017-05-25 13:44:31",151,5.387374,107.4658
